id, name, sizeX, sizeY, sizeZ, strainX, strainY, NX, NY, elecX, elecY, elecZ, XY_fig, XZ_fig, data_file
1,thick4voltage-10xsub3.8ysub3.8,40,40,28.8,3.8,3.8,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub3.8ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub3.8ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub3.8ysub3.8-20000-compress8.npz
2,thick4voltage-10xsub3.84ysub3.8,40,40,28.8,3.84,3.8,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub3.84ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub3.84ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub3.84ysub3.8-20000-compress8.npz
3,thick4voltage-10xsub3.84ysub3.84,40,40,28.8,3.84,3.84,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub3.84ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub3.84ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub3.84ysub3.84-20000-compress8.npz
4,thick4voltage-10xsub3.88ysub3.8,40,40,28.8,3.88,3.8,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub3.88ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub3.88ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub3.88ysub3.8-20000-compress8.npz
5,thick4voltage-10xsub3.88ysub3.84,40,40,28.8,3.88,3.84,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub3.88ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub3.88ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub3.88ysub3.84-20000-compress8.npz
6,thick4voltage-10xsub3.88ysub3.88,40,40,28.8,3.88,3.88,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub3.88ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub3.88ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub3.88ysub3.88-20000-compress8.npz
7,thick4voltage-10xsub3.92ysub3.8,40,40,28.8,3.92,3.8,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub3.92ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub3.92ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub3.92ysub3.8-20000-compress8.npz
8,thick4voltage-10xsub3.92ysub3.84,40,40,28.8,3.92,3.84,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub3.92ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub3.92ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub3.92ysub3.84-20000-compress8.npz
9,thick4voltage-10xsub3.92ysub3.88,40,40,28.8,3.92,3.88,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub3.92ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub3.92ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub3.92ysub3.88-20000-compress8.npz
10,thick4voltage-10xsub3.92ysub3.92,40,40,28.8,3.92,3.92,4,4,0,0,-10,./XY_fig/XY_thick4voltage-10xsub3.92ysub3.92-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-10xsub3.92ysub3.92-20000.dat.jpg,./XYZ/XYZ_thick4voltage-10xsub3.92ysub3.92-20000-compress8.npz
